roll_number,name,branch,year
RO231000,Student_1000,CSE,E1
RO231001,Student_1001,CSE,E1
RO231002,Student_1002,CSE,E1
RO231003,Student_1003,CSE,E1
RO231004,Student_1004,CSE,E1
RO231005,Student_1005,CSE,E1
RO231006,Student_1006,CSE,E1
RO231007,Student_1007,CSE,E1
RO231008,Student_1008,CSE,E1
RO231009,Student_1009,CSE,E1
RO231010,Student_1010,CSE,E1
RO231011,Student_1011,CSE,E1
RO231012,Student_1012,CSE,E1
RO231013,Student_1013,CSE,E1
RO231014,Student_1014,CSE,E1
RO231015,Student_1015,CSE,E1
RO231016,Student_1016,CSE,E1
RO231017,Student_1017,CSE,E1
RO231018,Student_1018,CSE,E1
RO231019,Student_1019,CSE,E1
RO231020,Student_1020,CSE,E1
RO231021,Student_1021,CSE,E1
RO231022,Student_1022,CSE,E1
RO231023,Student_1023,CSE,E1
RO231024,Student_1024,CSE,E1
RO231025,Student_1025,CSE,E1
RO231026,Student_1026,CSE,E1
RO231027,Student_1027,CSE,E1
RO231028,Student_1028,CSE,E1
RO231029,Student_1029,CSE,E1
RO231030,Student_1030,CSE,E1
RO231031,Student_1031,CSE,E1
RO231032,Student_1032,CSE,E1
RO231033,Student_1033,CSE,E1
RO231034,Student_1034,CSE,E1
RO231035,Student_1035,CSE,E1
RO231036,Student_1036,CSE,E1
RO231037,Student_1037,CSE,E1
RO231038,Student_1038,CSE,E1
RO231039,Student_1039,CSE,E1
RO231040,Student_1040,CSE,E1
RO231041,Student_1041,CSE,E1
RO231042,Student_1042,CSE,E1
RO231043,Student_1043,CSE,E1
RO231044,Student_1044,CSE,E1
RO231045,Student_1045,CSE,E1
RO231046,Student_1046,CSE,E1
RO231047,Student_1047,CSE,E1
RO231048,Student_1048,CSE,E1
RO231049,Student_1049,CSE,E1
RO231050,Student_1050,CSE,E1
RO231051,Student_1051,CSE,E1
RO231052,Student_1052,CSE,E1
RO231053,Student_1053,CSE,E1
RO231054,Student_1054,CSE,E1
RO231055,Student_1055,CSE,E1
RO231056,Student_1056,CSE,E1
RO231057,Student_1057,CSE,E1
RO231058,Student_1058,CSE,E1
RO231059,Student_1059,CSE,E1
RO231060,Student_1060,CSE,E1
RO231061,Student_1061,CSE,E1
RO231062,Student_1062,CSE,E1
RO231063,Student_1063,CSE,E1
RO231064,Student_1064,CSE,E1
RO231065,Student_1065,CSE,E1
RO231066,Student_1066,CSE,E1
RO231067,Student_1067,CSE,E1
RO231068,Student_1068,CSE,E1
RO231069,Student_1069,CSE,E1
RO231070,Student_1070,CSE,E1
RO231071,Student_1071,CSE,E1
RO231072,Student_1072,CSE,E1
RO231073,Student_1073,CSE,E1
RO231074,Student_1074,CSE,E1
RO231075,Student_1075,CSE,E1
RO231076,Student_1076,CSE,E1
RO231077,Student_1077,CSE,E1
RO231078,Student_1078,CSE,E1
RO231079,Student_1079,CSE,E1
RO231080,Student_1080,CSE,E1
RO231081,Student_1081,CSE,E1
RO231082,Student_1082,CSE,E1
RO231083,Student_1083,CSE,E1
RO231084,Student_1084,CSE,E1
RO231085,Student_1085,CSE,E1
RO231086,Student_1086,CSE,E1
RO231087,Student_1087,CSE,E1
RO231088,Student_1088,CSE,E1
RO231089,Student_1089,CSE,E1
RO231090,Student_1090,CSE,E1
RO231091,Student_1091,CSE,E1
RO231092,Student_1092,CSE,E1
RO231093,Student_1093,CSE,E1
RO231094,Student_1094,CSE,E1
RO231095,Student_1095,CSE,E1
RO231096,Student_1096,CSE,E1
RO231097,Student_1097,CSE,E1
RO231098,Student_1098,CSE,E1
RO231099,Student_1099,CSE,E1
RO231100,Student_1100,CSE,E1
RO231101,Student_1101,CSE,E1
RO231102,Student_1102,CSE,E1
RO231103,Student_1103,CSE,E1
RO231104,Student_1104,CSE,E1
RO231105,Student_1105,CSE,E1
RO231106,Student_1106,CSE,E1
RO231107,Student_1107,CSE,E1
RO231108,Student_1108,CSE,E1
RO231109,Student_1109,CSE,E1
RO231110,Student_1110,CSE,E1
RO231111,Student_1111,CSE,E1
RO231112,Student_1112,CSE,E1
RO231113,Student_1113,CSE,E1
RO231114,Student_1114,CSE,E1
RO231115,Student_1115,CSE,E1
RO231116,Student_1116,CSE,E1
RO231117,Student_1117,CSE,E1
RO231118,Student_1118,CSE,E1
RO231119,Student_1119,CSE,E1
RO231120,Student_1120,CSE,E1
RO231121,Student_1121,CSE,E1
RO231122,Student_1122,CSE,E1
RO231123,Student_1123,CSE,E1
RO231124,Student_1124,CSE,E1
RO231125,Student_1125,CSE,E1
RO231126,Student_1126,CSE,E1
RO231127,Student_1127,CSE,E1
RO231128,Student_1128,CSE,E1
RO231129,Student_1129,CSE,E1
RO231130,Student_1130,CSE,E1
RO231131,Student_1131,CSE,E1
RO231132,Student_1132,CSE,E1
RO231133,Student_1133,CSE,E1
RO231134,Student_1134,CSE,E1
RO231135,Student_1135,CSE,E1
RO231136,Student_1136,CSE,E1
RO231137,Student_1137,CSE,E1
RO231138,Student_1138,CSE,E1
RO231139,Student_1139,CSE,E1
RO231140,Student_1140,CSE,E1
RO231141,Student_1141,CSE,E1
RO231142,Student_1142,CSE,E1
RO231143,Student_1143,CSE,E1
RO231144,Student_1144,CSE,E1
RO231145,Student_1145,CSE,E1
RO231146,Student_1146,CSE,E1
RO231147,Student_1147,CSE,E1
RO231148,Student_1148,CSE,E1
RO231149,Student_1149,CSE,E1
RO231150,Student_1150,CSE,E1
RO231151,Student_1151,CSE,E1
RO231152,Student_1152,CSE,E1
RO231153,Student_1153,CSE,E1
RO231154,Student_1154,CSE,E1
RO231155,Student_1155,CSE,E1
RO231156,Student_1156,CSE,E1
RO231157,Student_1157,CSE,E1
RO231158,Student_1158,CSE,E1
RO231159,Student_1159,CSE,E1
RO231160,Student_1160,CSE,E1
RO231161,Student_1161,CSE,E1
RO231162,Student_1162,CSE,E1
RO231163,Student_1163,CSE,E1
RO231164,Student_1164,CSE,E1
RO231165,Student_1165,CSE,E1
RO231166,Student_1166,CSE,E1
RO231167,Student_1167,CSE,E1
RO231168,Student_1168,CSE,E1
RO231169,Student_1169,CSE,E1
RO231170,Student_1170,CSE,E1
RO231171,Student_1171,CSE,E1
RO231172,Student_1172,CSE,E1
RO231173,Student_1173,CSE,E1
RO231174,Student_1174,CSE,E1
RO231175,Student_1175,CSE,E1
RO231176,Student_1176,CSE,E1
RO231177,Student_1177,CSE,E1
RO231178,Student_1178,CSE,E1
RO231179,Student_1179,CSE,E1
RO231180,Student_1180,CSE,E1
RO231181,Student_1181,CSE,E1
RO231182,Student_1182,CSE,E1
RO231183,Student_1183,CSE,E1
RO231184,Student_1184,CSE,E1
RO231185,Student_1185,CSE,E1
RO231186,Student_1186,CSE,E1
RO231187,Student_1187,CSE,E1
RO231188,Student_1188,CSE,E1
RO231189,Student_1189,CSE,E1
RO231190,Student_1190,CSE,E1
RO231191,Student_1191,CSE,E1
RO231192,Student_1192,CSE,E1
RO231193,Student_1193,CSE,E1
RO231194,Student_1194,CSE,E1
RO231195,Student_1195,CSE,E1
RO231196,Student_1196,CSE,E1
RO231197,Student_1197,CSE,E1
RO231198,Student_1198,CSE,E1
RO231199,Student_1199,CSE,E1
RO231200,Student_1200,CSE,E1
RO231201,Student_1201,CSE,E1
RO231202,Student_1202,CSE,E1
RO231203,Student_1203,CSE,E1
RO231204,Student_1204,CSE,E1
RO231205,Student_1205,CSE,E1
RO231206,Student_1206,CSE,E1
RO231207,Student_1207,CSE,E1
RO231208,Student_1208,CSE,E1
RO231209,Student_1209,CSE,E1
RO231210,Student_1210,CSE,E1
RO231211,Student_1211,CSE,E1
RO231212,Student_1212,CSE,E1
RO231213,Student_1213,CSE,E1
RO231214,Student_1214,CSE,E1
RO231215,Student_1215,CSE,E1
